ID,day,waitingtime,line,drinks,cost,number
10001,1,23,에스프레소!,espresso,1500,1
10002,1,23,에스프레소 주세요. 아이스로,ice_espresso,1500,1
10003,1,23,뜨.아 주세요,americano,1500,1
10004,1,23,아메리카노 아이스로 가져갈게요,ice_americano,2000,1
10005,2,23,라떼 주세요,caffelatte,2000,1
10006,2,23,아. 카. 라. 주세요,ice_caffelatte,2500,1
10007,3,23,달달한 아메리카노 주세요,sweet_americano,2000,1
10008,3,23,달달하고 시원한 아메리카노 주세요,sweet_ice_americano,2500,1
10009,3,23,달달한 카페라떼 주세요,sweet_caffelatte,2500,1
10010,18,23,달달하고 시원한 카페라떼 있나요?,sweet_ice_caffelatte,3000,1
10011,4,23,바닐라 라떼 아이스로,ice_vanila_latte,2500,1
10012,4,23,바닐라 라떼 아주 뜨겁게 줘요,vanilla_latte,3000,1
10013,4,23,아메리카노에 헤이즐넛 시럽 넣어주세요,hazelnut_americano,2000,1
10014,4,23,아메리카노에 헤이즐넛 시럽이랑 얼음 넣어주세요,ice_hazelnut_americano,2500,1
10015,5,23,카.라.주세요,caffelatte,2000,1
10016,5,23,아.바.라 뭔지 아시죠?,ice_vanila_latte,2500,1
10017,5,23,영화제 가면 자주 먹어요. 에스프레소.,espresso,1500,1
10018,5,23,저는 카페가 좋아요. 라떼도 좋아요.,caffelatte,2000,1
10019,6,23,밀크 초코 있나요?,milk_choco,2000,1
10020,6,23,아이스 밀크 초코로 주세요,ice_milk_chocho,3500,1
10021,7,23,초코 라떼로 부탁드려요,choco_latte,3000,1
10022,7,23,아이스 초코 라떼 줘,ice_choco_latte,3500,1
10023,8,23,아보카도 있나요?,affogato,3000,1
10024,8,23,아보카도 같은 아포가토 있나요?,affogato,3000,1
10025,9,23,밀크 쉐이크 주세요.,milk_shake,3000,1
10026,10,23,"우유, 아이스크림을 섞은 것 주세요",milk_shake,3000,1
10027,10,23,아이스크림 라떼 주세요,icecream_latte,3500,1
10028,11,23,바나나 알러지 원숭이,banana_milk,2500,1
10029,12,23,바나나 밀크 라떼 주세요,banana_milk_latte,2500,1
10030,12,23,바나나 밀크 라떼 차갑게,ice_banana_milk_latte,3000,1
10031,13,23,쉐이크에 바나나를 넣으면 어떨까요?,banana_shake,3500,1
10032,13,23,바나나 쉐이크 한 잔 주세요.,banana_shake,3500,1
10033,14,23,"아침엔 상큼한 게 먹고 싶어요. 주스, 아이스로 주세요.",ice_morning_juice,2500,1
10034,14,23,아침엔 상큼한 게 먹고 싶어요. 주스로 주세요.,morning_juice,2000,1
10035,15,23,헤이즐넛 향이 나는 아메리카노도 있나요?,hazelnut_americano,2000,1
10036,15,23,아바라 한 잔 줘,ice_vanila_latte,3000,1
10037,16,23,사과 쉐이크 주세요,apple_shake,3500,1
10038,17,23,꿀아메 주세요!,honey_americano,2000,1
10039,17,23,아이스 꿀아메 주세요!,ice_honey_americano,2500,1
10040,18,23,허니 밀크는 무슨 맛일까요?,honey_milk,2500,1
10041,18,23,아이스 허니 밀크는 무슨 맛일까요?,ice_honey_milk,3000,1
10042,19,23,꿀 바나나 쉐이크 한 잔 주세요.,honey_banana_shake,3500,1
10043,19,23,꿀바쉐 한 잔 주세요,honey_banana_shake,3500,1
10044,20,23,따뜻한 거 줘,honey_milk,2500,1
10045,20,23,차가운 거 줘,ice_morning_juice,2500,1
10046,21,23,애플 에이드 한 잔 주세요,apple_ade,2000,1
10047,21,23,아이스 애플 에이드로요,ice_apple_ade,2500,1
10048,22,20,카라멜 마끼아또 주세요,caramel macchiato,2500,1
10049,22,20,마끼아또 주세요,caramel macchiato,2500,1
10050,23,20,레몬 에이드 시원하게 주세요,ice_lemon_ade,2500,1
10051,23,20,레몬 에이드 주세요,lemon_ade,2000,1
10052,24,20,레몬 크림 샤워 한 잔이요,lemon_creamsour,3000,1
10053,24,20,레몬 샤워인가? 그거 하나 주세요,lemon_creamsour,3000,1
10054,25,20,잠이 확 깨는 거 있나요?,espresso,1500,1
10055,25,20,잠이 잘 드는 거 있나요?,honey_milk,2500,1
10056,26,20,체리 에이드 주세요,cherry_ade,2000,1
10057,26,20,아이스 체리 에이드 주세요,ice_cherry_ade,2500,1
10058,27,20,상큼 에이드 한 잔 주세요,sour_ade,2700,1
10059,27,20,상큼 에이드 부탁해요,sour_ade,2700,1
10060,28,20,커피 프라페 한 잔 주세요,coffee_frappe,3000,1
10061,28,20,프라페 커피로,coffee_frappe,3000,1
10062,29,20,애플 프라페 한 잔 주세요,apple_frappe,3000,1
10063,29,20,사과로 만든 프라페는 없나요?,apple_frappe,3000,1
10064,30,20,커피 파르페 주세요,coffee_frappe,3000,1
10065,30,20,애플 파르페 주세요!,apple_frappe,3000,1
10066,31,20,딸바 쉐이크 한 잔 주세요~,strawberry_banana_shake,3500,1
10067,31,20,쉐이크 with 딸기 and 바닐라,strawberry_banana_shake,3500,1
10068,32,20,점이 많은 과일을 알고 있나요? 에이드로 원해요,strawberry_ade,2000,1
10069,32,20,스트로베리 에이드 아이스로 주세요,ice_strawberry_ade,2500,1
10070,33,20,딸쥬. 딸기 주스. 딸기 주스 죠.,strawberry_juice,2000,1
10071,33,20,아이스 딸기 주스 있나요? 냉동 딸기는 아니겠죠?,ice_strawberry_juice,2500,1
10072,34,20,딸.바.초.,sweets_latte,3000,1
10073,34,20,"딸기, 바나나, 초콜렛이 들어간 라떼 주세요",sweets_latte,3000,1
10074,35,20,다방 커피같이 달달하게 프림 넣은 거 줘,vanilla_latte,2500,1
10075,35,20,탄밥 누룽지처럼 구수한 거 있어?,americano,1500,1
10076,36,20,오렌지를 먹어 본 지가 오렌지,orange_juice,2000,1
10077,36,20,아이스 오렌지를 마셔 본 지가 아이스 오렌지,ice_orange_juice,2500,1
10078,37,20,딸기 우유는 원래 빨갛다,strawberry_milk,2500,1
10079,37,20,허니 밀크는 아이스로,ice_honey_milk,3000,1
10080,38,20,오레. 오레오레. 아이스 오레.,ice_orange_juice,3000,1
10081,38,20,상큼한 주스 주세요!,orange_juice,2000,1
10082,39,20,summer juice please,summer_juice,2500,1
10083,39,20,땀 흘리는 외국인은 썸머 주스를 원해,summer_juice,2500,1
10084,40,20,시원한 주스 있나요? 과일이면 좋겠는데요,strawberry_juice,2000,1
10085,40,20,아침에 마시기 좋은 주스 종류가 있을까요?,morning_juice,2000,1
10086,41,20,파. 파파파. 파파. 파인애플,pineapple_juice,2000,1
10087,41,20,아이스 파. 아이스 파파. 파인애플 주스,ice_pineapple_juice,2500,1
10088,42,20,파인애플 주스 한 잔 주세요,pineapple_juice,2000,1
10089,42,20,아이스 파인애플 주스 하나요,ice_pineapple_juice,2500,1
10090,43,20,체리 파인 샤워는 무슨 맛이예요?,cherry_pine_sour,4000,1
10091,43,20,체리 파인이 뭐죠?,cherry_pine_sour,4000,1
10092,44,20,벚꽃 한 잔,cherry_blossom,3500,1
10093,44,20,체리 블러썸은 샴푸 향인 줄 알았는데,cherry_blossom,3500,1
10094,45,20,체리 샤워인가 하나 줘요,cherry_pine_sour,4000,1
10095,45,20,레몬 크림 샤워가 아니라 사우어가 맞아요. 아무튼 그거 한 잔,lemon_creamsour,3000,1
10096,46,20,생 포도 없어? 그거 줘,grape_juice,2000,1
10097,46,20,시원~한 생 포도 하나 주면 좋겠는데,ice_grape_juice,2500,1
10098,47,20,90도씨로 예열한 데미타세에 과테말라 안티구아 풀시티 로스팅 융드립으로 1.5온스,americano,1500,1
10099,47,20,엄지 척! 딸기 주스 주세요,grape_strawberry_juice,2500,1
10100,48,20,엄지 척! 에이드 주세요,grape_ade,2000,1
10101,48,20,그레이프 푸르츠가 맞는 말 아닌가요? 아무튼 에이드로 주세요,grape_ade,2000,1
10102,49,20,포도 파르페 주세요,grape_frappe,3000,1
10103,49,20,포도 프라푸치노 주세요,grape_frappe,3000,1
10104,50,20,전 여름이 좋아요,summer_juice,2500,1
10105,50,20,제일 잘 나가는 거 주세요,ice_americano,1500,1
10106,51,20,레몬 파파파 한 잔!,lemon_frappe,3000,1
10107,51,20,레몬 프라페는 얼음이 들어가나요? 들어가면 한 잔 주세요,lemon_frappe,3000,1
10108,52,20,딸기 파라파 주세요,strawberry_frappe,3000,1
10109,52,20,체리 파파파 주세요,cherry_frappe,3000,1
10110,53,20,오렌지 파파파 프프프 페페페,orange_frappe,3000,1
10111,53,20,허니 밀크 라떼 하나요,honey_milk_latte,3000,1
10112,53,20,우리 42 오렌지 42다,orange_soda,3500,1
10113,53,20,사과 사이다에는 뭐가 들어가나요? 진짜 사이다는 아니겠죠?,apple_soda,3500,1
10114,54,20,오렌지 파르페 한 잔 주세요,orange_frappe,3000,1
10115,54,20,요즘은 사이다도 비싸게 파는 구나. 오렌지 사이다요,orange_soda,3500,1
10116,54,20,무슨 주스 한 잔이 이렇게 비싸? 애플 사이다 하나 줘,apple_soda,3500,1
10117,54,20,카라-멜. 마끼아-또.,caramel macchiato,2500,1
10118,55,20,엄마가 아보카도 사오래요,affogato,3000,1
10119,55,20,제 친구가 제일 좋아하는 커피예요. 저도 먹어보려고요. 아세요? 바닐라 라떼요,vanilla_latte,2500,1
10120,55,20,밀초 하나,milk_choco,2000,1
10121,56,20,체리 베리 에이드? 베리는 라즈베리인가?,cherry_berry_ade,3000,1
10122,56,20,아이스 체리 베리 에이드 주세요,ice_cherry_berry_ade,3500,1
10123,56,20,딸기 프라페 한 잔 주세요,strawberry_frappe,3000,1
10124,57,20,여봐라. 초바라,choco_vanilla_latte,2700,1
10125,57,20,초코 바닐라 라떼 한 잔 줘요,choco_vanilla_latte,2700,1
10126,58,20,레몬차는 따뜻한 거죠?,lemon_tea,2000,1
10127,58,20,레몬차 주세요,lemon_tea,2000,1
10128,59,20,여기 차 종류는 없나요?,apple_tea,2000,1
10129,59,20,전 사과가 좋아요,apple_tea,2000,1
10130,60,20,사우어 파라다이스? 이건 왜 또 샤워가 아닌가요?,sour_paradise,4000,1
10131,60,20,사우어 파라다이스 한 잔 줘,sour_paradise,4000,1
10132,1,23,쓴 건 맛 없지만 어쩔 수 없죠. 에스프레소 한 잔이요.,espresso,1500,1
10133,1,23,샷 한 번 내리고 1500원? 팔자 좋네요.,ice_espresso,1500,1
10134,1,23,난 커피 싫어하는데… 어쩔 수 없지. 부장놈 거 아메리카노 한 잔이요.,americano,1500,1
10135,1,23,근처에서 여기가 제일 저렴하네요. 아이스 아메리카노 한 잔 주세요.,ice_americano,2000,1
10136,2,23,"거기, 카페라떼 하나! ",caffelatte,2000,1
10137,2,23,아이스 카페라떼인지 뭔지 줘봐. 하나. 빨리 만들어!,ice_caffelatte,2500,1
10138,3,23,달달한 아메리카노? 그래봤자 시럽 넣은 거면서…,sweet_americano,2000,1
10139,3,23,달달하고 시원한 아메리카노 있나요?,sweet_ice_americano,2500,1
10140,3,23,달달한 카페라떼 한 잔 주세요. 최대한 빨리!,sweet_caffelatte,2500,1
10141,18,23,시원하고 달콤한 카페 라떼 있겠죠? 아무리 가게가 좁아도?,sweet_ice_caffelatte,3000,1
10142,4,23,아이스 버뉠라 라퉤이 한 잔,ice_vanila_latte,2500,1
10143,4,23,버닐라 라퉤이 한 잔 주세요~,vanilla_latte,3000,1
10144,4,23,시럽 한 번 더 펌핑했다고 500원을 달라고 하네. 헤이즐넛 아메리카노 하나요.,hazelnut_americano,2000,1
10145,4,23,"헤이즐넛 아메리카노, 아이스로 줘.",ice_hazelnut_americano,2500,1
10146,5,23,카페라떼 주세염,caffelatte,2000,1
10147,5,23,시원시원한 바닐라 라떼 부탁요,ice_vanila_latte,2500,1
10148,5,23,에스프레소,espresso,1500,1
10149,5,23,난 우유가 없으면 커피를 못마셔. 그래서 카페라떼.,caffelatte,2000,1
10150,6,23,치키치키차카차카 밀크초코 줘!,milk_choco,2000,1
10151,6,23,시원한 밀크 초코 한 잔 주세요,ice_milk_chocho,3500,1
10152,7,23,초코라떼는 왜 이렇게 맛있는 걸까?,choco_latte,3000,1
10153,7,23,아이스 초코라떼는 못 참지.,ice_choco_latte,3500,1
10154,8,23,아빠가또 주세요.,affogato,3000,1
10155,8,23,커피 위에 아이스크림을 올린 음료가 뭐죠? 그거 주세요,affogato,3000,1
10156,9,23,밀쉐 하나~,milk_shake,3000,1
10157,10,23,밀크 쉐이크는 집에서는 그 맛이 안 나온다는 말이지. 하나 줘봐요.,milk_shake,3000,1
10158,10,23,아.크.라. 주세요,icecream_latte,3500,1
10159,11,23,바나나 우유는 이것보다는 역시…. ,banana_milk,2500,1
10160,12,23,바나나 밀크 라떼 한 잔 주세요,banana_milk_latte,2500,1
10161,12,23,[급구] 아이스 바나나 밀크 라떼,ice_banana_milk_latte,3000,1
10162,13,23,바나나 쉐이크 하나요,banana_shake,3500,1
10163,13,23,원숭이가 좋아하는 노란 과일을 올린 쉐이크 한 잔 주세요,banana_shake,3500,1
10164,14,23,아침 주스를 시원하게 먹고 싶어요,ice_morning_juice,2500,1
10165,14,23,아침 주스를 먹고 싶어요,morning_juice,2000,1
10166,15,23,헤이즐넛 아메 하나,hazelnut_americano,2000,1
10167,15,23,아바라 하나 주세요,ice_vanila_latte,3000,1
10168,16,23,사과 쉐이크 한 잔,apple_shake,3500,1
10169,17,23,꿀 넣은 아메리카노 하나 주세요,honey_americano,2000,1
10170,17,23,아이스 꿀 아메리카노 있나요?,ice_honey_americano,2500,1
10171,18,23,허니 밀크는 무슨 음료지?,honey_milk,2500,1
10172,18,23,아이스 허니 밀크는 뭘까?,ice_honey_milk,3000,1
10173,19,23,허니 바나나 쉐이크 한 잔이요,honey_banana_shake,3500,1
10174,19,23,그냥 복잡하게 말하지 말고 꿀 바 쉐 라고하면 될 걸.,honey_banana_shake,3500,1
10175,20,23,꿀 넣은 우유 한 잔 주세요,honey_milk,2500,1
10176,20,23,시원한 모닝 주스가 내 눈앞에 있다면…,ice_morning_juice,2500,1
10177,21,23,사과 에이드 좋아해요!,apple_ade,2000,1
10178,21,23,시원한 사과 에이드는 더 좋아해요!,ice_apple_ade,2500,1
10179,22,20,마끼아~또. ,caramel macchiato,2500,1
10180,22,20,카~라멜 마~끼아또!,caramel macchiato,2500,1
10181,23,20,"시원한 레몬 에이드 주세요. 레몬 청인가요, 아니면 시럽인가요?",ice_lemon_ade,2500,1
10182,23,20,레몬 에이드 주세요,lemon_ade,2000,1
10183,24,20,레몬 크림사워?...이게 뭐죠?,lemon_creamsour,3000,1
10184,24,20,레몬 크림 사워 지난 번에 먹어보니까 맛있더라고요. 그거 주세요,lemon_creamsour,3000,1
10185,25,20,제가 항상 시키는 거 주세요,espresso,1500,1
10186,25,20,"거기 젊은 언니, 내가 좋아하는 거 줘.",honey_milk,2500,1
10187,26,20,"거기 젊은 오빠, 내가 좋아하는 거 줘.",cherry_ade,2000,1
10188,26,20,저번에도 이거 시켰는데? 설마 사장님 손님 얼굴 기억 못하세요?,ice_cherry_ade,2500,1
10189,27,20,"상큼발랄, 저같은 에이드 있겠죠?",sour_ade,2700,1
10190,27,20,"상큼발랄, 저 같은 에이드 주세요",sour_ade,2700,1
10191,28,20,커피 프라페 주세요,coffee_frappe,3000,1
10192,28,20,커피 프라페 얼음 빼고 안되겠죠?,coffee_frappe,3000,1
10193,29,20,사과 파파파 주세요~,apple_frappe,3000,1
10194,29,20,사과 프프프 있죠?,apple_frappe,3000,1
10195,30,20,커피 프라페는 왜 이렇게 비싼 걸까?,coffee_frappe,3000,1
10196,30,20,애플 프라페 하나요,apple_frappe,3000,1
10197,31,20,딸바쉐,strawberry_banana_shake,3500,1
10198,31,20,"딸 바보, 쉐이크… 한 잔…",strawberry_banana_shake,3500,1
